origin	dest	capacity	length	fft	alpha	beta	speedLimit	LinkType	NMoto	NCar
5435	5358	1950	0.57	0.8341463414634145	1.5577	3.6819	0	3	0	0
5359	5356	810	0.7	1.0243902439024388	1.5577	3.6819	0	6	0	0
5360	5088	3320	5.73	8.385365853658538	1.5577	3.6819	0	6	0	0
5361	15963	1070	0.15	0.16363636363636364	1.2312	2.9971	0	5	0	0
5364	13633	770	0.5	0.9375	1.5554	3.829	0	6	0	0
5366	5364	770	0.16	0.23414634146341462	1.5577	3.6819	0	5	0	0
5076	17123	2950	0.19	0.228	1.1507	3.7967	0	5	0	0
5368	5367	1570	3.8	4.56	3.76	3.29	0	4	0	0
5367	15946	1950	0.36	0.5268292682926828	1.5577	3.6819	0	3	0	0
5055	5087	910	0.27	0.3951219512195122	1.5577	3.6819	0	6	0	0
5369	15944	910	0.22	0.32195121951219513	1.5577	3.6819	0	6	0	0
5370	5371	1860	0.14	0.20487804878048782	1.5577	3.6819	0	4	0	0
5372	5369	910	0.53	0.775609756097561	1.5577	3.6819	0	6	0	0
5371	5373	1860	0.12	0.17560975609756097	1.5577	3.6819	0	3	0	0
5372	5370	1950	0.11	0.16097560975609757	1.5577	3.6819	0	4	0	0
5374	5375	910	0.32	0.46829268292682924	1.5577	3.6819	0	6	0	0
5058	5374	910	0.22	0.32195121951219513	1.5577	3.6819	0	6	0	0
5375	5055	910	0.1	0.14634146341463414	1.5577	3.6819	0	6	0	0
5373	15941	1950	0.06	0.08780487804878048	1.5577	3.6819	0	3	0	0
5058	5375	910	0.15	0.2195121951219512	1.5577	3.6819	0	6	0	0
5370	5373	1860	0.16	0.23414634146341462	1.5577	3.6819	0	4	0	0
5060	5372	3920	0.31	0.31	0.8397	5.3445	0	4	0	0
5374	5372	910	0.1	0.14634146341463414	1.5577	3.6819	0	6	0	0
5062	5374	910	0.3	0.4390243902439024	1.5577	3.6819	0	6	0	0
5060	5062	910	0.12	0.144	1.1507	3.7967	0	5	0	0
5369	15943	1950	0.11	0.16097560975609757	1.5577	3.6819	0	3	0	0
5376	5377	1860	0.11	0.132	1.1507	3.7967	0	5	0	0
5377	5378	2950	0.43	0.516	1.1507	3.7967	0	5	0	0
5377	27465	1450	0.36	0.432	1.1507	3.7967	0	5	0	0
5379	17086	2950	0.03	0.036	1.1507	3.7967	0	5	0	0
5381	17089	2950	0.14	0.20487804878048782	1.5577	3.6819	0	6	0	0
5380	5075	1450	0.45	0.54	1.1507	3.7967	0	5	0	0
5380	5381	770	0.25	0.46875	1.5554	3.829	0	6	0	0
